,Unnamed: 0_x,Reporter Identifier,p_x,fold_change_x,abs_change_x,Rejection on 0.05_x,qval_x,Unnamed: 0_y,p_y,fold_change_y,abs_change_y,Rejection on 0.05_y,qval_y,Unnamed: 0,UCSC_RefGene_Name,Name,cluster
1,196,cg00186701,3.0487661336567154e-11,2.1157698975889043,0.2213866,True,1.6603229065739156e-09,196,3.0487661336567154e-11,2.1157698975889043,0.2213866,True,1.6603229065739156e-09,188.0,TSPY like 5,cg00186701,0
7,1223,cg01274660,1.7427123740540444e-18,2.6923715153724044,0.2082574,True,7.817689560014982e-16,1223,1.7427123740540444e-18,2.6923715153724044,0.2082574,True,7.817689560014982e-16,1190.0,thyroid hormone receptor interactor 6,cg01274660,1
9,1597,cg01655355,3.279766037646133e-11,2.2771012509053143,0.29465394999999994,True,1.7643408072841504e-09,1597,3.279766037646133e-11,2.2771012509053143,0.29465394999999994,True,1.7643408072841504e-09,1554.0,solute carrier family 5 member 5,cg01655355,1
10,1622,cg01671575,3.174488108180694e-12,2.3730322724593664,0.2781508,True,2.1994548889847757e-10,1622,3.174488108180694e-12,2.3730322724593664,0.2781508,True,2.1994548889847757e-10,1577.0,piggyBac transposable element derived 5,cg01671575,0
14,1946,cg02008416,1.0292718431396616e-13,2.096640114345877,0.3035218,True,1.1303625673185653e-11,1946,1.0292718431396616e-13,2.096640114345877,0.3035218,True,1.1303625673185653e-11,1895.0,transmembrane protein 61,cg02008416,0
18,2264,cg02332073,4.662033133816946e-27,2.071186656835422,0.3057344000000001,True,1.762714727896187e-23,2264,4.662033133816946e-27,2.071186656835422,0.3057344000000001,True,1.762714727896187e-23,2204.0,testis specific 13,cg02332073,1
19,2605,cg02724472,7.220707773130977e-19,2.1763201964817367,0.20805739999999995,True,3.4981489544646427e-16,2605,7.220707773130977e-19,2.1763201964817367,0.20805739999999995,True,3.4981489544646427e-16,2532.0,leucine rich repeat containing 17,cg02724472,1
20,2609,cg02727423,2.2585643292397513e-23,2.1671230944983937,0.21270655,True,3.736088881374281e-20,2609,2.2585643292397513e-23,2.1671230944983937,0.21270655,True,3.736088881374281e-20,2536.0,EMAP like 1,cg02727423,0
33,4191,cg04355435,9.496892165181329e-18,2.0242991579533456,0.25553145000000005,True,3.396678985619652e-15,4191,9.496892165181329e-18,2.0242991579533456,0.25553145000000005,True,3.396678985619652e-15,4075.0,transmembrane protein 125,cg04355435,1
34,4268,cg04439215,6.950752406721534e-23,2.5475948687618937,0.31858285,True,9.509799066756734e-20,4268,6.950752406721534e-23,2.5475948687618937,0.31858285,True,9.509799066756734e-20,4150.0,potassium channel tetramerization domain containing 4,cg04439215,1
36,4375,cg04533291,1.4851656897068183e-12,2.1048726584075905,0.29240930000000004,True,1.1041539412772573e-10,4375,1.4851656897068183e-12,2.1048726584075905,0.29240930000000004,True,1.1041539412772573e-10,4251.0,cytosolic iron-sulfur assembly component 1,cg04533291,0
43,4791,cg04969878,1.9692747678328707e-17,2.089246621660344,0.2470871000000001,True,6.515099410029074e-15,4791,1.9692747678328707e-17,2.089246621660344,0.2470871000000001,True,6.515099410029074e-15,4647.0,transmembrane protein 19,cg04969878,0
44,4808,cg04987894,1.768773450850932e-09,2.1033994574276718,0.24094625,True,5.553277215144914e-08,4808,1.768773450850932e-09,2.1033994574276718,0.24094625,True,5.553277215144914e-08,4661.0,glutathione S-transferase mu 5,cg04987894,1
48,5552,cg05813234,0.0007414866061229315,2.005317416558209,0.3603791000000001,True,0.002938303040014318,5552,0.0007414866061229315,2.005317416558209,0.3603791000000001,True,0.002938303040014318,5391.0,ribosomal protein S6 kinase A6,cg05813234,1
50,5716,cg05989054,6.473553609208594e-17,2.7392669390860287,0.30543545000000005,True,1.842317670698106e-14,5716,6.473553609208594e-17,2.7392669390860287,0.30543545000000005,True,1.842317670698106e-14,5554.0,guanidinoacetate N-methyltransferase,cg05989054,0
51,5846,cg06151165,2.892892559787098e-19,5.3692042036118695,0.249751555,True,1.6290678165933004e-16,5846,2.892892559787098e-19,5.3692042036118695,0.249751555,True,1.6290678165933004e-16,5678.0,visual system homeobox 1,cg06151165,1
56,6367,cg06650260,2.2357587110089408e-10,2.137239259324607,0.22430475,True,9.245910281917756e-09,6367,2.2357587110089408e-10,2.137239259324607,0.22430475,True,9.245910281917756e-09,6179.0,nuclear receptor subfamily 0 group B member 2,cg06650260,0
64,7036,cg07360076,2.3602567014588856e-18,3.308669850673972,0.226296015,True,1.0075631309276182e-15,7036,2.3602567014588856e-18,3.308669850673972,0.226296015,True,1.0075631309276182e-15,6829.0,fibroblast growth factor receptor 3,cg07360076,1
70,7528,cg07895149,2.367063678781249e-10,2.125828526231948,0.32425145000000005,True,9.683009951515195e-09,7528,2.367063678781249e-10,2.125828526231948,0.32425145000000005,True,9.683009951515195e-09,7303.0,calcium homeostasis modulator family member 2,cg07895149,1
81,8517,cg08948050,2.129415882878885e-14,2.4050419939558942,0.30485435000000005,True,2.8039427946345995e-12,8517,2.129415882878885e-14,2.4050419939558942,0.30485435000000005,True,2.8039427946345995e-12,8285.0,solute carrier family 35 member A4,cg08948050,0
97,9455,cg09949775,6.662319461011853e-17,2.135910919896065,0.27381694999999995,True,1.8561222018379023e-14,9455,6.662319461011853e-17,2.135910919896065,0.27381694999999995,True,1.8561222018379023e-14,9209.0,cartilage oligomeric matrix protein,cg09949775,1
101,9996,cg10519140,6.5500216471876595e-21,2.5978931475921754,0.4012229,True,4.953126369603308e-18,9996,6.5500216471876595e-21,2.5978931475921754,0.4012229,True,4.953126369603308e-18,9730.0,solute carrier family 29 member 1 (Augustine blood group),cg10519140,1
105,10292,cg10848367,3.718015453040595e-19,2.6339075196780626,0.3637110000000001,True,2.0500982290755297e-16,10292,3.718015453040595e-19,2.6339075196780626,0.3637110000000001,True,2.0500982290755297e-16,10022.0,secretoglobin family 1D member 2,cg10848367,0
117,11394,cg11932564,1.552344012653185e-27,5.252685838771544,0.23351196,True,6.847648163815307e-24,11394,1.552344012653185e-27,5.252685838771544,0.23351196,True,6.847648163815307e-24,11088.0,TNF receptor superfamily member 13C,cg11932564,1
136,12834,cg13460409,6.128519180132458e-22,3.4125701399765327,0.26040305,True,6.48814068562263e-19,12834,6.128519180132458e-22,3.4125701399765327,0.26040305,True,6.48814068562263e-19,12492.0,ripply transcriptional repressor 3,cg13460409,1
148,13839,cg14446712,5.1924336197855916e-30,2.4401063872153714,0.3869262000000001,True,6.871407030743263e-26,13839,5.1924336197855916e-30,2.4401063872153714,0.3869262000000001,True,6.871407030743263e-26,13472.0,caveolae associated protein 2,cg14446712,1
157,14267,cg14870271,4.644176715141182e-16,2.185938119194752,0.22579485000000005,True,1.0158464885920798e-13,14267,4.644176715141182e-16,2.185938119194752,0.22579485000000005,True,1.0158464885920798e-13,13884.0,galectin 3 binding protein,cg14870271,1
166,15012,cg15633390,4.102980787907788e-13,2.130135341137081,0.22466825,True,3.6318927262058674e-11,15012,4.102980787907788e-13,2.130135341137081,0.22466825,True,3.6318927262058674e-11,14611.0,eukaryotic translation initiation factor 4E,cg15633390,0
176,16567,cg17237813,7.186155640425235e-23,2.293658394098727,0.2869899000000001,True,9.509799066756734e-20,16567,7.186155640425235e-23,2.293658394098727,0.2869899000000001,True,9.509799066756734e-20,16129.0,tubulin tyrosine ligase like 7,cg17237813,0
178,16992,cg17706173,3.0052246927809486e-18,3.3882579910034223,0.29301799999999995,True,1.2428012803723964e-15,16992,3.0052246927809486e-18,3.3882579910034223,0.29301799999999995,True,1.2428012803723964e-15,16551.0,transmembrane protein 204,cg17706173,0
188,17848,cg18592174,1.9468910812164333e-07,2.3452027585985067,0.20074185,True,3.300984384788939e-06,17848,1.9468910812164333e-07,2.3452027585985067,0.20074185,True,3.300984384788939e-06,17388.0,choline O-acetyltransferase,cg18592174,1
197,18824,cg19615059,3.518842428393608e-18,2.586658985008878,0.23354105,True,1.4111091295802066e-15,18824,3.518842428393608e-18,2.586658985008878,0.23354105,True,1.4111091295802066e-15,18328.0,transient receptor potential cation channel subfamily V member 4,cg19615059,1
206,19689,cg20557202,1.8731706700211228e-11,3.2990384426000268,0.2918158,True,1.0848404403380537e-09,19689,1.8731706700211228e-11,3.2990384426000268,0.2918158,True,1.0848404403380537e-09,19164.0,solute carrier family 5 member 5,cg20557202,1
209,19866,cg20744464,1.0417460138459324e-16,2.8831419037371084,0.3115131,True,2.6768826940252712e-14,19866,1.0417460138459324e-16,2.8831419037371084,0.3115131,True,2.6768826940252712e-14,19341.0,melanotransferrin,cg20744464,1
216,20275,cg21145624,9.381105533421095e-25,2.7046740706164645,0.26257929999999996,True,2.257179274118692e-21,20275,9.381105533421095e-25,2.7046740706164645,0.26257929999999996,True,2.257179274118692e-21,19743.0,Meis homeobox 3,cg21145624,1
219,20775,cg21633698,1.3919639251990485e-13,2.8459786168098744,0.32977485,True,1.4460332386227941e-11,20775,1.3919639251990485e-13,2.8459786168098744,0.32977485,True,1.4460332386227941e-11,20232.0,Thy-1 cell surface antigen,cg21633698,0
222,20960,cg21838334,2.271459818635146e-16,2.17782318076305,0.20049925,True,5.273572545597931e-14,20960,2.271459818635146e-16,2.17782318076305,0.20049925,True,5.273572545597931e-14,20412.0,nestin,cg21838334,1
231,22721,cg23696886,6.241499550067107e-19,2.4964572674046948,0.3283224999999999,True,3.116863558332568e-16,22721,6.241499550067107e-19,2.4964572674046948,0.3283224999999999,True,3.116863558332568e-16,22116.0,PDZ and LIM domain 2,cg23696886,0
236,23203,cg24208206,1.737230437847905e-14,2.4283005272521354,0.24302005,True,2.3643029314976855e-12,23203,1.737230437847905e-14,2.4283005272521354,0.24302005,True,2.3643029314976855e-12,22579.0,FYVE and coiled-coil domain containing 1,cg24208206,1
237,23305,cg24322623,5.638018601205338e-20,2.7272050235666008,0.32445650000000004,True,3.4702660073977136e-17,23305,5.638018601205338e-20,2.7272050235666008,0.32445650000000004,True,3.4702660073977136e-17,22677.0,myogenic differentiation 1,cg24322623,1
250,24505,cg25514503,1.1139823785414134e-09,2.1252147775516685,0.26286570000000004,True,3.708650517340325e-08,24505,1.1139823785414134e-09,2.1252147775516685,0.26286570000000004,True,3.708650517340325e-08,23855.0,period circadian regulator 3,cg25514503,0
253,24747,cg25787984,6.1457437034521475e-12,2.43941791600318,0.2614219,True,3.9770024107400486e-10,24747,6.1457437034521475e-12,2.43941791600318,0.2614219,True,3.9770024107400486e-10,24090.0,dickkopf WNT signaling pathway inhibitor 3,cg25787984,0
259,25050,cg26113512,9.306272537087808e-17,4.500924319306575,0.22518999,True,2.4630911523910303e-14,25050,9.306272537087808e-17,4.500924319306575,0.22518999,True,2.4630911523910303e-14,24381.0,villin like,cg26113512,1
267,25691,cg26790059,1.1720176335849335e-15,2.6315642414779994,0.3208683999999999,True,2.297762274673514e-13,25691,1.1720176335849335e-15,2.6315642414779994,0.3208683999999999,True,2.297762274673514e-13,25016.0,fibronectin type III domain containing 9,cg26790059,0
273,26061,cg27210390,3.2488824043126997e-16,2.468245846728622,0.20058470000000003,True,7.28713310126646e-14,26061,3.2488824043126997e-16,2.468245846728622,0.20058470000000003,True,7.28713310126646e-14,25384.0,target of myb1 like 1 membrane trafficking protein,cg27210390,0
274,26091,cg27243140,7.479794509609284e-17,2.295031318311243,0.21303835000000004,True,2.0621637633940513e-14,26091,7.479794509609284e-17,2.295031318311243,0.21303835000000004,True,2.0621637633940513e-14,25415.0,otopetrin 3,cg27243140,1
276,26257,cg27426707,6.741156235432295e-29,3.0428083588495127,0.2604597,True,4.460454552079664e-25,26257,6.741156235432295e-29,3.0428083588495127,0.2604597,True,4.460454552079664e-25,,,,1
278,26341,cg27519140,6.480826019668245e-14,2.0474368245420203,0.24203614999999995,True,7.65750099386426e-12,26341,6.480826019668245e-14,2.0474368245420203,0.24203614999999995,True,7.65750099386426e-12,25661.0,ribonuclease P/MRP subunit p21,cg27519140,0
279,26443,cg27635271,7.92417137789068e-25,2.34506882789016,0.35878069999999995,True,2.0972904385863265e-21,26443,7.92417137789068e-25,2.34506882789016,0.35878069999999995,True,2.0972904385863265e-21,25765.0,sorting nexin 33,cg27635271,0
